POP,CXPB,MUTPB,MUTATION RATE,BEST_MODULARITY,BEST_GEN
50,0.7,0.4,0.05,0.3825608153,795
50,0.7,0.4,0.05,0.3823142669,621
60,0.8,0.5,0.08,0.3823142669,399
50,0.8,0.5,0.02,0.3822320842,500
60,0.8,0.5,0.08,0.3822320842,166
50,0.8,0.5,0.08,0.3820677186,242
50,0.8,0.5,0.08,0.3820677186,412
50,0.8,0.5,0.1,0.3820677186,567
50,0.8,0.5,0.1,0.3820677186,809
40,0.8,0.5,0.08,0.3820677186,310
40,0.8,0.5,0.08,0.3820677186,541
40,0.8,0.5,0.08,0.3820677186,532
50,0.8,0.5,0.1,0.3814102564,508
40,0.8,0.5,0.08,0.3814102564,239
60,0.8,0.5,0.08,0.3813280736,265
50,0.8,0.5,0.08,0.3811637081,394
50,0.8,0.5,0.1,0.3810815253,707
60,0.8,0.5,0.08,0.3810815253,285
50,0.8,0.5,0.08,0.3809993425,586
50,0.7,0.4,0.05,0.3809171598,393
50,0.7,0.4,0.05,0.3809171598,466
60,0.8,0.5,0.08,0.3809171598,202
50,0.7,0.4,0.05,0.3805884287,195
40,0.8,0.5,0.08,0.3805884287,584
40,0.8,0.5,0.08,0.3805884287,301
50,0.7,0.4,0.05,0.3802596976,464
50,0.8,0.4,0.05,0.380095332,355
40,0.8,0.5,0.08,0.380095332,393
50,0.8,0.4,0.05,0.3798487837,513
40,0.8,0.5,0.08,0.3795200526,614
50,0.7,0.4,0.05,0.3791091387,377
50,0.8,0.4,0.05,0.3791091387,410
50,0.8,0.5,0.08,0.3791091387,255
50,0.8,0.5,0.08,0.3791091387,416
50,0.8,0.5,0.1,0.3791091387,505
50,0.8,0.5,0.1,0.3791091387,353
50,0.8,0.5,0.1,0.3791091387,516
40,0.8,0.5,0.08,0.3791091387,380
60,0.8,0.5,0.08,0.3791091387,246
60,0.8,0.5,0.08,0.3791091387,543
60,0.8,0.5,0.08,0.3791091387,498
50,0.8,0.5,0.1,0.3789447732,405
50,0.8,0.5,0.08,0.3788625904,675
50,0.8,0.5,0.1,0.3788625904,418
60,0.8,0.5,0.08,0.3788625904,545
40,0.8,0.5,0.08,0.3783694938,201
50,0.8,0.4,0.05,0.3781229454,740
50,0.8,0.5,0.02,0.3781229454,276
50,0.8,0.5,0.02,0.3781229454,876
50,0.8,0.5,0.02,0.3778763971,301
40,0.8,0.5,0.08,0.3778763971,547
50,0.8,0.5,0.02,0.3777942143,480
50,0.8,0.5,0.02,0.3777942143,228
50,0.8,0.5,0.02,0.3777120316,660
50,0.7,0.4,0.05,0.3776298488,389
50,0.8,0.4,0.05,0.3776298488,381
60,0.8,0.5,0.08,0.3776298488,278
50,0.8,0.5,0.08,0.3773011177,406
50,0.8,0.5,0.1,0.3772189349,508
60,0.8,0.5,0.08,0.3772189349,376
